""
2,Ep,Airdate,Chaser,Contribution,Final Chase Result
2,1,"May 24, 2010",Shaun Wallace,"£9,000 + £2,000 + () + £5,000",19/19 (0:17)
2,2,"May 25, 2010",Mark Labbett,"£9,000 + £9,000 + £9,000 + £1,000",23/23 (0:10)
2,3,"May 26, 2010",Mark Labbett,"£9,000 + () + £9,000 + ()",14/14 (0:35)
2,4,"May 27, 2010",Shaun Wallace,"£4,000 + £12,000 + £2,000 + £1,000","25/23 ( 4 x £4,750 )"
2,5,"May 28, 2010",Anne Hegerty,"£8,000 + () + £7,000 + ()",21/21 (0:22)
2,6,"May 31, 2010",Mark Labbett,"() + () + £20,000 + £500","22/16 ( 2 x £10,250 )"
2,7,"June 1, 2010",Anne Hegerty,"£18,000 + £6,000 + £7,000 + ()",21/21 (0:19)
2,8,"June 2, 2010",Shaun Wallace,"£7,000 + £8,000 + () + £5,000",22/22 (0:01)
2,9,"June 3, 2010",Mark Labbett,"£5,000 + () + £200 + ()",14/14 (0:33)
2,10,"June 4, 2010",Anne Hegerty,"£5,000 + £6,000 + £7,000 + £400","21/17 ( 4 x £4,600 )"
2,11,"June 7, 2010",Shaun Wallace,"£7,000 + £8,000 + () + £7,000",14/14 (0:30)
2,12,"June 8, 2010",Mark Labbett,"() + £12,000 + £10,000 + ()",26/26 (0:03)
2,13,"June 9, 2010",Anne Hegerty,"() + £5,000 + () + ()",8/8 (1:27)
2,14,"June 10, 2010",Mark Labbett,"() + £9,000 + £5,000 + £8,000","22/21 ( 3 x £7,333 )"
2,15,"June 11, 2010",Mark Labbett,"£4,000 + () + () + ()",15/15 (0:56)
2,16,"June 14, 2010",Shaun Wallace,"£7,000 + () + () + ()",16/16 (0:37)
2,17,"June 15, 2010",Mark Labbett,"() + £7,000 + £7,000 + ()",23/23 (0:09)
2,18,"June 16, 2010",Anne Hegerty,"() + £24,000 + () + ()",18/18 (0:38)
2,19,"June 17, 2010",Mark Labbett,"() + () + £5,000 + £11,000","28/27 ( 2 x £8,000 )"
2,20,"June 18, 2010",Shaun Wallace,"£6,000 + £25,000 + £7,000 + ()",14/14 (0:41)
2,21,"June 21, 2010",Anne Hegerty,"£6,000 + () + £5,000 + £5,000",18/18 (0:28)
2,22,"June 22, 2010",Mark Labbett,"£7,000 + £7,000 + () + £10,000","24/23 ( 3 x £8,000 )"
2,23,"June 23, 2010",Shaun Wallace,"£7,000 + () + () + ()",21/21 (0:00)
2,24,"June 24, 2010",Anne Hegerty,"£18,000 + £8,000 + () + £8,000","24/23 ( 3 x £11,333 )"
2,25,"June 25, 2010",Shaun Wallace,"£8,000 + £1,000 + £3,000 + £8,000",23/23 (0:22)
2,26,"June 28, 2010",Shaun Wallace,"() + £8,000 + £7,000 + ()","24/22 ( 2 x £7,500 )"
2,27,"July 7, 2010",Anne Hegerty,"() + £1,000 + £30,000 + £100",16/16 (0:29)
2,28,"June 30, 2010",Mark Labbett,"() + £5,000 + £1,000 + £1,000","21/18 ( 3 x £2,333 )"
2,29,"July 1, 2010",Shaun Wallace,"() + () + £8,000 + £800",18/18 (0:41)
2,30,"July 2, 2010",Mark Labbett,"£5,000 + () + () + ()",15/15 (0:56)
2,31,"July 5, 2010",Anne Hegerty,"£5,000 + £5,000 + £2,000 + ()",18/18 (0:12)
2,32,"July 6, 2010",Mark Labbett,"() + () + () + £40,000",16/16 (0:55)
2,33,"July 19, 2010",Anne Hegerty,"£7,000 + () + () + ()",12/12 (0:57)
2,34,"July 8, 2010",Shaun Wallace,"£10,000 + £4,000 + () + £10,000",20/20 (0:23)
2,35,"July 9, 2010",Anne Hegerty,"£2,000 + () + () + £38,000","24/19 ( 2 x £20,000 )"
2,36,"July 12, 2010",Shaun Wallace,"() + £8,000 + £8,000 + £4,000",22/22 (0:08)
2,37,"July 13, 2010",Mark Labbett,"() + () + £5,000 + £1,000",16/16 (0:44)
2,38,"July 14, 2010",Anne Hegerty,"() + £5,000 + £10,000 + £5,000",20/20 (0:15)
2,39,"July 15, 2010",Shaun Wallace,"£1,000 + £8,000 + £8,000 + £500",21/21 (0:12)
2,40,"July 16, 2010",Mark Labbett,"() + £7,000 + £8,000 + £6,000",19/19 (0:14)
3,1,03/01/2011,Mark Labbett,"£5,000 + () + () + £7,000",20/20 (0:30)
3,2,04/01/2011,Anne Hegerty,"() + £6,000 + £6,000 + ()",21/21 (0:32)
3,3,05/01/2011,Shaun Wallace,"() + £3,000 + () + £8,000",23/23 (0:13)
3,4,06/01/2011,Mark Labbett,"£7,000 + £4,000 + £8,000 + £200","24/23 ( 4 x £4,800 )"
3,5,07/01/2011,Anne Hegerty,(nominated) + () + () + () Constalation,19/19 (0:15)
3,6,10/01/2011,Mark Labbett,"£5,000 + £6,000 + () + £6,000",21/21 (0:20)
3,7,11/01/2011,Shaun Wallace,"() + () + () + £25,000",19/19 (0:13)
3,8,12/01/2011,Anne Hegerty,"£4,000 + £5,000 + () + £4,000",15/15 (0:41)
3,9,13/01/2011,Mark Labbett,"£10,000 + £11,000 + £21,000 + ()","25/24 ( 3 x £14,000 )"
3,10,14/01/2011,Anne Hegerty,"() + £8,000 + () + ()",23/23 (0:16)
3,11,17/01/2011,Shaun Wallace,"£7,000 + £9,000 + () + £8,000","20/19 ( 3 x £8,000 )"
3,12,18/01/2011,Mark Labbett,"£16,000 + £8,000 + () + £3",22/22 (0:16)
3,13,19/01/2011,Anne Hegerty,"£6,000 + () + £4,000 + ()",21/21 (0:31)
3,14,20/01/2011,Shaun Wallace,"£8,000 + £6,000 + £30,000 + ()",15/15 (0:54)
3,15,21/01/2011,Mark Labbett,"£7,000 + £6,000 + £3,000 + ()",18/18 (0:36)
3,16,24/01/2011,Anne Hegerty,"£5,000 + () + £100 + £6,000",26/26 (0:09)
3,17,25/01/2011,Mark Labbett,"£2,000 + () + () + ()",12/12 (1:07)
3,18,26/01/2011,Mark Labbett,"() + () + £7,000 + ()","18/14 ( 1 x £7,000 )"
3,19,27/01/2011,Shaun Wallace,"£7,000 + () + £8,000 + £9,000","27/15 ( 3 x £8,000 )"
3,20,28/01/2011,Anne Hegerty,"() + £300 + £300 + £30,000",19/19 (0:21)
3,21,31/01/2011,Mark Labbett,"£7,000 + £7,000 + £6,000 + £4,000",23/23 (0:06)
3,22,01/02/2011,Shaun Wallace,"£3,000 + £40,000 + £7,000 + £400","25/23 ( 4 x £12,600 )"
3,23,02/02/2011,Mark Labbett,"() + () + () + £20,000",15/15 (0:38)
3,24,03/02/2011,Anne Hegerty,"£4,000 + () + () + £3,000",11/11 (1:01)
3,25,04/02/2011,Shaun Wallace,"£2,000 + () + () + £1,500",15/15 (0:50)
3,26,07/02/2011,Mark Labbett,"£7,000 + () + £5,000 + £5,000","26/24 ( 3 x £5,666 )"
3,27,08/02/2011,Anne Hegerty,"() + £6,000 + £8,000 + £1,000",15/15 (0:41)
3,28,09/02/2011,Mark Labbett,"() + £9,000 + () + £400",19/19 (0:38)
3,29,10/02/2011,Shaun Wallace,"£6,000 + £25,000 + £6,000 + (-£1,000)",23/23 (0:01)
