Series,Episode,AirDate,Chaser,P1,P2,P3,P4,NPlayers,PTotal,playerScore,chaserScore,playerWin,remainingTime
7,1,2013-09-02,Anne Hegerty,3000.0,0.0,0.0,3000.0,2.0,6000.0,14,14,False,47.0
7,2,2013-09-03,Mark Labbett,7000.0,6000.0,5000.0,42000.0,4.0,60000.0,19,18,True,0.0
7,3,2013-09-04,Shaun Wallace,1000.0,0.0,0.0,49000.0,2.0,50000.0,17,17,False,2.0
7,4,2013-09-05,Mark Labbett,0.0,30000.0,-3000.0,7000.0,2.0,34000.0,19,19,False,6.0
7,5,2013-09-06,Paul Sinha,0.0,0.0,4000.0,5000.0,2.0,9000.0,11,11,False,61.0
7,6,2013-09-09,Paul Sinha,0.0,3000.0,200.0,2000.0,3.0,5200.0,15,15,False,48.0
7,7,2013-09-10,Anne Hegerty,3000.0,4000.0,0.0,1000.0,3.0,8000.0,16,16,False,39.0
7,8,2013-09-11,Shaun Wallace,4000.0,10000.0,0.0,0.0,2.0,14000.0,16,16,False,35.0
7,9,2013-09-12,Anne Hegerty,0.0,5000.0,0.0,6000.0,2.0,11000.0,18,15,True,0.0
7,10,2013-09-13,Mark Labbett,5000.0,0.0,1000.0,6000.0,3.0,12000.0,13,13,False,27.0
7,11,2013-09-16,Shaun Wallace,4000.0,7000.0,3000.0,0.0,3.0,14000.0,15,15,False,22.0
7,12,2013-09-17,Mark Labbett,0.0,5000.0,0.0,0.0,1.0,5000.0,17,17,False,38.0
7,13,2013-09-18,Shaun Wallace,5000.0,7000.0,2000.0,4000.0,4.0,18000.0,20,17,True,0.0
7,14,2013-09-19,Anne Hegerty,0.0,0.0,1000.0,2000.0,2.0,3000.0,17,17,False,41.0
7,15,2013-09-20,Paul Sinha,0.0,3000.0,0.0,33000.0,2.0,36000.0,18,18,False,3.0
7,16,2013-09-23,Anne Hegerty,1000.0,0.0,4000.0,1000.0,3.0,6000.0,15,15,False,20.0
7,17,2013-09-24,Paul Sinha,2000.0,6000.0,2000.0,4000.0,4.0,14000.0,17,17,False,36.0
7,18,2013-09-25,Mark Labbett,0.0,6000.0,0.0,7000.0,2.0,13000.0,17,17,False,40.0
7,19,2013-09-26,Paul Sinha,24000.0,5000.0,8000.0,9000.0,4.0,46000.0,21,20,True,0.0
7,20,2013-09-27,Shaun Wallace,0.0,0.0,0.0,7000.0,1.0,7000.0,10,10,False,17.0
7,21,2013-09-30,Mark Labbett,24000.0,30000.0,2000.0,1000.0,4.0,57000.0,19,19,False,11.0
7,22,2013-10-01,Anne Hegerty,5000.0,5000.0,0.0,0.0,2.0,10000.0,17,17,False,4.0
7,23,2013-10-02,Shaun Wallace,0.0,0.0,4000.0,4000.0,2.0,8000.0,13,13,False,44.0
7,24,2013-10-03,Mark Labbett,8000.0,6000.0,-2000.0,6000.0,3.0,18000.0,18,14,True,0.0
7,25,2013-10-04,Paul Sinha,0.0,5000.0,0.0,1000.0,2.0,6000.0,15,15,False,41.0
7,26,2013-10-07,Anne Hegerty,0.0,8000.0,6000.0,-2000.0,2.0,12000.0,20,18,True,0.0
7,27,2013-10-08,Mark Labbett,8000.0,7000.0,6000.0,0.0,3.0,21000.0,18,18,False,44.0
7,28,2013-10-09,Shaun Wallace,0.0,5000.0,0.0,0.0,1.0,5000.0,16,16,False,7.0
7,29,2013-10-10,Paul Sinha,0.0,33000.0,-3000.0,9000.0,2.0,39000.0,19,18,True,0.0
7,30,2013-10-11,Anne Hegerty,7000.0,7000.0,0.0,7000.0,3.0,21000.0,14,14,False,23.0
7,31,2013-10-14,Shaun Wallace,2000.0,5000.0,0.0,0.0,2.0,7000.0,15,15,False,44.0
7,32,2013-10-15,Mark Labbett,4000.0,6000.0,0.0,0.0,2.0,10000.0,18,18,False,1.0
7,33,2013-10-24,Paul Sinha,4000.0,7000.0,4000.0,3000.0,4.0,18000.0,16,14,True,0.0
7,34,2013-10-17,Paul Sinha,5000.0,0.0,3000.0,52000.0,3.0,60000.0,14,14,False,44.0
7,35,2013-10-18,Anne Hegerty,7000.0,0.0,0.0,1000.0,2.0,8000.0,12,12,False,7.0
7,36,2013-10-21,Mark Labbett,7000.0,6000.0,-1000.0,2000.0,3.0,14000.0,15,15,False,9.0
7,37,2013-10-22,Paul Sinha,0.0,5000.0,0.0,0.0,1.0,5000.0,11,11,False,31.0
7,38,2013-10-23,Shaun Wallace,0.0,7000.0,6000.0,0.0,2.0,13000.0,14,14,False,33.0
7,39,2013-10-16,Shaun Wallace,6000.0,2000.0,0.0,7000.0,3.0,15000.0,24,11,True,0.0
7,40,2013-11-04,Paul Sinha,0.0,4000.0,4000.0,3000.0,3.0,11000.0,14,14,False,46.0
7,41,2013-10-25,Anne Hegerty,0.0,0.0,2000.0,40000.0,2.0,42000.0,12,12,False,29.0
7,42,2013-11-05,Shaun Wallace,1000.0,5000.0,7000.0,6000.0,4.0,19000.0,18,14,True,0.0
7,43,2013-11-06,Mark Labbett,0.0,5000.0,1000.0,8000.0,3.0,14000.0,16,16,False,24.0
7,44,2013-11-07,Anne Hegerty,5000.0,7000.0,-1000.0,6000.0,3.0,17000.0,17,17,False,11.0
